UF,Sexo,Idade,Cor,Anos.de.Estudo,Renda,Altura
Mato Grosso do Sul,Feminino,45,Parda,5 anos,1114,1.77
Mato Grosso do Sul,Masculino,56,Branca,1 ano,1400,1.67
Mato Grosso do Sul,Masculino,30,Parda,7 anos,1200,1.7
Mato Grosso do Sul,Masculino,37,Parda,6 anos,1100,1.73
Mato Grosso do Sul,Masculino,40,Parda,7 anos,1000,1.67
Mato Grosso do Sul,Feminino,49,Parda,2 anos,1400,1.62
Mato Grosso do Sul,Masculino,34,Parda,11 anos,2600,1.71
Mato Grosso do Sul,Masculino,50,Parda,5 anos,1200,1.6
Mato Grosso do Sul,Masculino,35,Parda,5 anos,1594,1.62
Mato Grosso do Sul,Masculino,18,Branca,5 anos,2000,1.6
Mato Grosso do Sul,Masculino,27,Parda,7 anos,1200,1.66
Mato Grosso do Sul,Masculino,37,Preta,5 anos,1500,1.7
Mato Grosso do Sul,Masculino,47,Branca,15 anos ou mais,5000,1.81
Mato Grosso do Sul,Masculino,27,Branca,15 anos ou mais,7000,1.61
Mato Grosso do Sul,Masculino,38,Parda,11 anos,2800,1.68
Mato Grosso do Sul,Masculino,38,Parda,9 anos,3900,1.57
Mato Grosso do Sul,Masculino,45,Branca,11 anos,8000,1.75
Mato Grosso do Sul,Feminino,25,Parda,15 anos ou mais,2500,1.74
Mato Grosso do Sul,Masculino,26,Branca,11 anos,800,1.73
Mato Grosso do Sul,Masculino,27,Parda,5 anos,950,1.68
Mato Grosso do Sul,Masculino,66,Parda,2 anos,3000,1.78
Mato Grosso do Sul,Feminino,67,Preta,8 anos,788,1.68
Mato Grosso do Sul,Masculino,35,Branca,11 anos,1200,1.6
Mato Grosso do Sul,Feminino,37,Parda,8 anos,986,1.69
Mato Grosso do Sul,Feminino,48,Preta,15 anos ou mais,5000,1.63
Mato Grosso do Sul,Masculino,65,Parda,3 anos,1200,1.65
Mato Grosso do Sul,Feminino,46,Parda,11 anos,930,1.74
Mato Grosso do Sul,Masculino,27,Branca,11 anos,1100,1.73
Mato Grosso do Sul,Feminino,57,Branca,12 anos,4500,1.71
Mato Grosso do Sul,Masculino,28,Parda,5 anos,1000,1.79
Mato Grosso do Sul,Masculino,44,Indígena,4 anos,1155,1.79
Mato Grosso do Sul,Feminino,38,Parda,11 anos,788,1.66
Mato Grosso do Sul,Masculino,21,Parda,7 anos,788,1.63
Mato Grosso do Sul,Masculino,42,Parda,5 anos,1800,1.66
Mato Grosso do Sul,Masculino,45,Parda,8 anos,1100,1.81
Mato Grosso do Sul,Masculino,45,Parda,11 anos,3800,1.69
Mato Grosso do Sul,Masculino,50,Branca,8 anos,2300,1.83
Mato Grosso do Sul,Masculino,28,Parda,11 anos,3000,1.5
Mato Grosso do Sul,Feminino,39,Branca,15 anos ou mais,2000,1.69
Mato Grosso do Sul,Masculino,60,Parda,6 anos,2100,1.83
Mato Grosso do Sul,Masculino,57,Parda,6 anos,890,1.57
Mato Grosso do Sul,Feminino,37,Parda,15 anos ou mais,1200,1.67
Mato Grosso do Sul,Feminino,51,Parda,11 anos,1500,1.64
Mato Grosso do Sul,Feminino,42,Indígena,13 anos,1200,1.6
Mato Grosso do Sul,Masculino,52,Indígena,4 anos,788,1.71
Mato Grosso do Sul,Masculino,39,Parda,1 ano,1500,1.68
Mato Grosso do Sul,Masculino,69,Indígena,Sem instrução e menos de um ano,0,1.59
Mato Grosso do Sul,Masculino,58,Parda,6 anos,800,1.66
